year,salary
2005,67500.0
2006,148500.0
2007,144000.0
2009,71571.42857142857
2010,54697.36842105263
2011,91588.46153846153
2012,86590.33626373626
2013,83427.5
2014,93006.05575326216
2015,108088.1456241033
2016,103972.30997304582
2017,107456.23592342342
2018,115451.48918918919
2019,127611.78911205074
2020,151649.70378719567
2021,161354.4856899489
2022,197783.88270509976
2023,196458.2232142857
2024,175445.39411764705
